cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
AbellS1063,C10-S06,S1,N2,0.0643863650932692,0.08606396092390037,0.002740631432028759,1.0,1.8630475086543177,0.48974609375,0.0694052650156917,0.6820234061047101
AbellS1063,S13_P0,S0,N0,0.9084403413427673,0.8234053877046749,0.1771257592023058,0.21035382273621284,0.05464947827979295,0.894287109375,0.37990880074939404,0.059262467916451296
AbellS1063,S13_P0,S0,N1,0.9084403413427672,0.8234054404408189,0.9142780316600635,1.0,0.9999999999999996,0.839111328125,0.03256123820324352,-5.984795992119984e-17
AbellS1063,S13_P0,S0,N2,0.9084403413427673,0.8234053877046749,0.9046663755302694,1.0000000000000002,1.2350518843405915,0.894287109375,0.032829611263068784,0.08152498913338234
AbellS1063,S13_P0,S1,N0,0.972671174981042,0.9452115829275375,0.17812415553478955,0.20456916765709277,0.05517498402220883,0.98193359375,0.4969673011191738,0.05923953730476081
AbellS1063,S13_P0,S1,N1,0.9726711749810419,0.9452115562102195,0.973978545728318,1.0,0.9999999999999998,0.906494140625,0.020050022760828522,-2.445960101127298e-16
AbellS1063,S13_P0,S1,N2,0.9726711749810419,0.9452115829275375,0.9617845428896474,1.0,1.318444521103379,0.98193359375,0.023543129370559315,0.07106518248546886
AbellS1063,S13_P3,S0,N0,-0.0013063822514788918,-0.011694375598747319,0.002159015668073356,0.05277728686785652,0.005869182554077699,0.41162109375,0.7781247316441711,0.07282152263007179
AbellS1063,S13_P3,S0,N1,-0.0013063822514788603,-0.011694375598747319,0.06325620720154777,0.9999999999999999,0.9999999999999994,0.572021484375,0.058048982497903474,6.938893903907228e-17
AbellS1063,S13_P3,S0,N2,-0.0013063822514788983,-0.011694375598747319,0.004289860601325536,1.0000000000000002,2.1070919928814495,0.41162109375,0.05786158407219622,0.7164351995608496
AbellS1063,S13_P3,S1,N0,0.03133896189875867,-0.012487701302592535,0.0008219706087274874,0.025896061661112607,0.00194147508588332,0.49169921875,1.7857323102993696,0.07278514270650799
AbellS1063,S13_P3,S1,N1,0.031338961898758705,-0.012487701302592535,0.09675151087429615,1.0,0.9999999999999998,0.535888671875,0.06438833150550076,-1.1102230246251565e-16
AbellS1063,S13_P3,S1,N2,0.03133896189875871,-0.012487701302592535,0.008572371522328459,1.0,2.8951054094613973,0.49169921875,0.06431515649143955,0.7900119630315589
AbellS1063,S13_P4,S0,N0,0.9067742438615857,0.8187758377419353,0.16497742512700603,0.20356352915679676,0.05399331812942444,0.8359375,0.3488080946468815,0.060224697706046236
AbellS1063,S13_P4,S0,N1,0.9067742438615856,0.8187758377419353,0.9127225382525398,1.0,0.9999999999999996,0.838623046875,0.029695711234774803,6.765421556309548e-17
AbellS1063,S13_P4,S0,N2,0.9067742438615854,0.8187758377419353,0.8956746198458376,1.0000000000000002,1.3029869751448686,0.8359375,0.030543584299941005,0.1070882604636417
AbellS1063,S13_P4,S1,N0,0.9692946859829881,0.9383856218137591,0.16058369662198754,0.1923941305468776,0.050195105475397774,0.979248046875,0.5217176062575558,0.06020163372579556
AbellS1063,S13_P4,S1,N1,0.9692946859829881,0.9383856218137591,0.970815883029074,1.0,0.9999999999999998,0.900634765625,0.020950910524829218,-1.734723475976807e-16
AbellS1063,S13_P4,S1,N2,0.9692946859829881,0.9383856218137591,0.9558450302772844,0.9999999999999999,1.3560563408167268,0.979248046875,0.02484064269260979,0.07991591684548613
Abell370,S00,S0,N0,0.9933150383042676,0.9829039965112282,0.14924082878149722,5.532462942469043,30.415096208420582,0.82373046875,0.09978946122188137,-0.07069018322692404
Abell370,S00,S0,N1,0.9933150383042675,0.9829039965112282,0.9936391126119948,0.9999999999999999,0.9999999999999999,0.959716796875,0.009929920504253145,7.291259609965017e-18
Abell370,S00,S0,N2,0.9933150383042673,0.9829039965112282,0.9936887228869329,1.0000000000000002,0.9936928554885537,0.82373046875,0.009953075318893636,-0.0022339783935233642
Abell370,S00,S1,N0,0.999253398757887,0.9983130322229434,0.14762010598392927,5.547247200523652,30.72690546551058,0.997802734375,0.11296653537347734,-0.07069857823972855
Abell370,S00,S1,N1,0.9992533987578872,0.9983130322229434,0.9992872198922941,1.0000000000000002,1.0000000000000004,0.983642578125,0.003362054283703957,3.117081245895825e-17
Abell370,S00,S1,N2,0.9992533987578872,0.9983130322229434,0.9992949131200172,0.9999999999999999,0.9985361331990438,0.997802734375,0.003364290936451191,-0.0003769258684359159
Abell370,S01,S0,N0,0.9933150383042673,0.9829039965112282,0.9936711663717454,0.9958433296444278,0.985449117152827,0.82373046875,0.009986752693616423,1.5643712564377694e-05
Abell370,S01,S0,N1,0.9933150383042674,0.9829039965112282,0.9936391126119948,0.9999999999999999,0.9999999999999998,0.959716796875,0.009929920504253145,-5.4399844004460185e-17
Abell370,S01,S0,N2,0.9933150383042673,0.9829039965112282,0.9936887228869331,1.0000000000000002,0.9936928554885537,0.82373046875,0.009953075318893636,-0.002233978393523315
Abell370,S01,S1,N0,0.9992533987578871,0.9983130322229434,0.9992923731100299,0.9985044960942573,0.9955517370825424,0.997802734375,0.0033731292728837376,1.569260312390078e-05
Abell370,S01,S1,N1,0.9992533987578873,0.9983130322229434,0.9992872198922944,1.0000000000000002,1.0000000000000004,0.983642578125,0.003362054283703958,-1.4671965899160089e-16
Abell370,S01,S1,N2,0.9992533987578873,0.9983130322229434,0.9992949131200172,0.9999999999999999,0.9985361331990441,0.997802734375,0.003364290936451191,-0.0003769258684359504
Abell370,S02,S0,N0,0.9747747556252797,0.9594586695594293,0.22442038716354115,0.24280580744914804,0.061235519520790656,0.973876953125,0.5969362787680277,0.1017641899627892
Abell370,S02,S0,N1,0.9747747556252796,0.9594586695594293,0.9754411642680947,1.0000000000000002,1.0000000000000002,0.923828125,0.024823202380598167,-3.5952144039619327e-16
Abell370,S02,S0,N2,0.9747747556252795,0.9594586695594293,0.9754760076949305,1.0000000000000002,1.038688364663429,0.973876953125,0.024719318932615426,0.007635310069135667
Abell370,S02,S1,N0,0.9921471145559736,0.9848704216715013,0.23330002015911244,0.2423462294437568,0.06299576060324649,1.0,0.7247548349846833,0.10192804259004416
Abell370,S02,S1,N1,0.9921471145559736,0.9848704216715013,0.9923687421756737,1.0,1.0000000000000002,0.952392578125,0.012450882664326875,-1.5612511283791264e-17
